imdb_id,title,rating_imdb,rating_RT,rating_metacritic,promedio_rating
tt0111161,The Shawshank Redemption,9.3,8.9,8.2,8.8
tt0068646,The Godfather,9.2,9.7,10.0,9.63
tt0468569,The Dark Knight,9.0,9.4,8.4,8.93
tt0071562,The Godfather Part II,9.0,9.6,9.0,9.2
tt0050083,12 Angry Men,9.0,10.0,9.7,9.57
tt0108052,Schindler's List,9.0,9.8,9.5,9.43
tt0167260,The Lord of the Rings: The Return of the King,9.0,9.4,9.4,9.27
tt0110912,Pulp Fiction,8.9,9.2,9.5,9.2
tt0120737,The Lord of the Rings: The Fellowship of the Ring,8.9,9.2,9.2,9.1
tt0060196,"The Good, the Bad and the Ugly",8.8,9.7,9.0,9.17
tt0109830,Forrest Gump,8.8,7.5,8.2,8.17
tt0137523,Fight Club,8.8,8.1,6.7,7.87
tt0167261,The Lord of the Rings: The Two Towers,8.8,9.5,8.7,9.0
tt1375666,Inception,8.8,8.7,7.4,8.3
tt0080684,Star Wars: Episode V - The Empire Strikes Back,8.7,9.5,8.2,8.8
tt0133093,The Matrix,8.7,8.3,7.3,8.1
tt0099685,Goodfellas,8.7,9.4,9.2,9.1
tt9362722,Spider-Man: Across the Spider-Verse,8.5,9.5,8.6,8.87
tt0816692,Interstellar,8.7,7.3,7.4,7.8
tt0073486,One Flew Over the Cuckoo's Nest,8.7,9.3,8.4,8.8
tt0114369,Se7en,8.6,8.4,6.5,7.83
tt0038650,It's a Wonderful Life,8.6,9.4,8.9,8.97
tt0047478,Seven Samurai,8.6,10.0,9.8,9.47
tt0102926,The Silence of the Lambs,8.6,9.5,8.6,8.9
tt0120815,Saving Private Ryan,8.6,9.4,9.1,9.03
tt0317248,City of God,8.6,9.1,7.9,8.53
tt0118799,Life Is Beautiful,8.6,8.1,5.8,7.5
tt0120689,The Green Mile,8.6,7.9,6.1,7.53
tt0076759,Star Wars: Episode IV - A New Hope,8.6,9.3,9.0,8.97
tt0103064,Terminator 2: Judgment Day,8.6,9.1,7.5,8.4
tt0245429,Spirited Away,8.6,9.6,9.6,9.27
tt15398776,Oppenheimer,8.3,9.3,9.0,8.87
