imdb_id,title,platform
tt0111161,The Shawshank Redemption,Netflix
tt0111161,The Shawshank Redemption,Movistar Plus+
tt0111161,The Shawshank Redemption,Movistar Plus+ Ficción Total 
tt0111161,The Shawshank Redemption,Filmin
tt0111161,The Shawshank Redemption,Max
tt0111161,The Shawshank Redemption,Netflix Standard with Ads
tt0068646,The Godfather,Movistar Plus+ Ficción Total 
tt0068646,The Godfather,SkyShowtime
tt0068646,The Godfather,Max
tt0468569,The Dark Knight,Netflix
tt0468569,The Dark Knight,Amazon Prime Video
tt0468569,The Dark Knight,Movistar Plus+ Ficción Total 
tt0468569,The Dark Knight,Max
tt0468569,The Dark Knight,Netflix Standard with Ads
tt0071562,The Godfather Part II,Movistar Plus+ Ficción Total 
tt0071562,The Godfather Part II,SkyShowtime
tt0071562,The Godfather Part II,Max
tt0050083,12 Angry Men,Filmin
tt0050083,12 Angry Men,MGM Plus Amazon Channel
tt0108052,Schindler's List,Movistar Plus+
tt0108052,Schindler's List,Movistar Plus+ Ficción Total 
tt0108052,Schindler's List,Filmin
tt0108052,Schindler's List,SkyShowtime
tt0167260,The Lord of the Rings: The Return of the King,Amazon Prime Video
tt0167260,The Lord of the Rings: The Return of the King,Movistar Plus+ Ficción Total 
tt0167260,The Lord of the Rings: The Return of the King,Max
tt0167260,The Lord of the Rings: The Return of the King,Tivify
tt0110912,Pulp Fiction,Movistar Plus+ Ficción Total 
tt0110912,Pulp Fiction,SkyShowtime
tt0110912,Pulp Fiction,Max
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Amazon Prime Video
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Movistar Plus+ Ficción Total 
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Max
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Tivify
tt0060196,"The Good, the Bad and the Ugly",FlixOlé
tt0060196,"The Good, the Bad and the Ugly",FlixOlé Amazon Channel
tt0109830,Forrest Gump,Movistar Plus+
tt0109830,Forrest Gump,Movistar Plus+ Ficción Total 
tt0109830,Forrest Gump,SkyShowtime
tt0137523,Fight Club,Disney Plus
